data,tipo_queijo,litros_leite,kg_produzido,preco_kg,turno
2025-11-23,Ricota,762.0,47.9,28.0,Tarde
2025-11-23,Parmesao,461.0,34.5,89.0,Manha
2025-11-24,Parmesao,850.0,70.6,89.0,Manha
2025-11-24,Ricota,1216.0,77.1,28.0,Tarde
2025-11-24,Coalho,909.0,130.5,38.0,Manha
2025-11-24,Prato,319.0,30.4,48.0,Tarde
2025-11-25,Mussarela,288.0,28.6,45.0,Tarde
2025-11-25,Prato,1081.0,106.2,48.0,Tarde
2025-11-25,Parmesao,673.0,54.8,89.0,Manha
2025-11-25,Minas Frescal,910.0,167.3,32.0,Manha
2025-11-26,Ricota,299.0,19.0,28.0,Manha
2025-11-26,Prato,801.0,76.7,48.0,Manha
2025-11-26,Coalho,629.0,97.4,38.0,Manha
2025-11-26,Mussarela,1422.0,146.1,45.0,Manha
2025-11-27,Ricota,511.0,31.0,28.0,Tarde
2025-11-27,Prato,1282.0,128.6,48.0,Manha
2025-11-27,Coalho,1235.0,191.1,38.0,Tarde
2025-11-27,Mussarela,813.0,80.0,45.0,Tarde
2025-11-28,Prato,519.0,49.7,48.0,Manha
2025-11-28,Parmesao,1050.0,76.9,89.0,Manha
2025-11-28,Mussarela,302.0,30.4,45.0,Tarde
2025-11-29,Minas Frescal,983.0,172.8,32.0,Manha
2025-11-29,Prato,1477.0,146.3,48.0,Manha
2025-11-29,Parmesao,1490.0,112.4,89.0,Tarde
2025-11-30,Minas Frescal,364.0,66.0,32.0,Tarde
2025-11-30,Mussarela,1494.0,147.1,45.0,Tarde
2025-11-30,Ricota,743.0,43.1,28.0,Tarde
2025-11-30,Parmesao,634.0,49.8,89.0,Manha
2025-12-01,Ricota,1419.0,87.0,28.0,Manha
2025-12-01,Parmesao,844.0,67.2,89.0,Manha
2025-12-01,Coalho,510.0,76.2,38.0,Manha
2025-12-01,Prato,989.0,91.7,48.0,Manha
2025-12-02,Minas Frescal,843.0,148.9,32.0,Tarde
2025-12-02,Ricota,1193.0,70.3,28.0,Tarde
2025-12-02,Mussarela,539.0,51.4,45.0,Tarde
2025-12-03,Parmesao,1115.0,91.1,89.0,Manha
2025-12-03,Coalho,1251.0,182.1,38.0,Tarde
2025-12-03,Minas Frescal,802.0,144.9,32.0,Tarde
2025-12-03,Prato,840.0,85.0,48.0,Tarde
2025-12-04,Parmesao,323.0,24.5,89.0,Tarde
2025-12-04,Minas Frescal,1184.0,215.5,32.0,Manha
2025-12-05,Mussarela,1058.0,113.5,45.0,Manha
2025-12-05,Prato,427.0,41.3,48.0,Tarde
2025-12-06,Coalho,781.0,120.9,38.0,Manha
2025-12-06,Ricota,583.0,32.4,28.0,Manha
2025-12-07,Prato,558.0,63.9,48.0,Manha
2025-12-07,Coalho,773.0,110.2,38.0,Tarde
2025-12-07,Mussarela,904.0,91.6,45.0,Manha
2025-12-08,Ricota,672.0,40.6,28.0,Tarde
2025-12-08,Coalho,905.0,128.7,38.0,Manha
2025-12-08,Minas Frescal,610.0,107.1,32.0,Manha
2025-12-08,Prato,354.0,35.9,48.0,Manha
2025-12-09,Mussarela,1467.0,139.6,45.0,Manha
2025-12-09,Coalho,383.0,63.6,38.0,Tarde
2025-12-09,Parmesao,602.0,50.2,89.0,Tarde
2025-12-09,Prato,1452.0,152.0,48.0,Manha
2025-12-10,Parmesao,1488.0,121.7,89.0,Tarde
2025-12-10,Mussarela,893.0,83.8,45.0,Manha
2025-12-10,Ricota,1460.0,88.4,28.0,Tarde
2025-12-11,Parmesao,490.0,39.8,89.0,Tarde
2025-12-11,Ricota,810.0,49.1,28.0,Manha
2025-12-12,Coalho,1157.0,175.1,38.0,Tarde
2025-12-12,Prato,206.0,19.2,48.0,Tarde
2025-12-12,Ricota,241.0,15.7,28.0,Manha
2025-12-13,Minas Frescal,258.0,44.4,32.0,Manha
2025-12-13,Prato,1497.0,146.7,48.0,Tarde
2025-12-13,Ricota,849.0,50.5,28.0,Tarde
2025-12-13,Coalho,1414.0,227.0,38.0,Manha
2025-12-14,Minas Frescal,1460.0,262.2,32.0,Manha
2025-12-14,Ricota,1405.0,79.2,28.0,Tarde
2025-12-15,Ricota,309.0,18.6,28.0,Tarde
2025-12-15,Coalho,763.0,117.2,38.0,Manha
2025-12-15,Minas Frescal,305.0,54.0,32.0,Manha
2025-12-16,Prato,607.0,60.2,48.0,Tarde
2025-12-16,Parmesao,1448.0,114.5,89.0,Tarde
2025-12-17,Minas Frescal,1140.0,207.5,32.0,Manha
2025-12-17,Prato,208.0,22.8,48.0,Tarde
2025-12-17,Parmesao,435.0,34.3,89.0,Tarde
2025-12-18,Parmesao,1062.0,81.9,89.0,Manha
2025-12-18,Mussarela,525.0,46.9,45.0,Tarde
2025-12-18,Coalho,634.0,90.0,38.0,Tarde
2025-12-19,Mussarela,1404.0,139.7,45.0,Manha
2025-12-19,Coalho,1451.0,201.7,38.0,Tarde
2025-12-19,Prato,890.0,83.3,48.0,Manha
2025-12-19,Parmesao,1492.0,130.3,89.0,Tarde
2025-12-20,Prato,449.0,42.7,48.0,Tarde
2025-12-20,Minas Frescal,1400.0,261.8,32.0,Manha
2025-12-20,Parmesao,978.0,76.8,89.0,Manha
2025-12-20,Coalho,950.0,132.7,38.0,Manha
2025-12-21,Parmesao,1280.0,104.8,89.0,Manha
2025-12-21,Ricota,870.0,52.6,28.0,Tarde
2025-12-21,Minas Frescal,1276.0,230.3,32.0,Manha
2025-12-22,Coalho,1355.0,224.5,38.0,Manha
2025-12-22,Ricota,1035.0,63.3,28.0,Tarde
2025-12-22,Parmesao,566.0,42.8,89.0,Manha
2025-12-22,Prato,321.0,32.5,48.0,Tarde
2025-12-23,Parmesao,1240.0,93.7,89.0,Tarde
2025-12-23,Coalho,616.0,93.6,38.0,Tarde
2025-12-23,Minas Frescal,1016.0,180.2,32.0,Tarde
2025-12-24,Minas Frescal,1283.0,228.2,32.0,Manha
2025-12-24,Parmesao,1092.0,88.7,89.0,Tarde
2025-12-24,Mussarela,279.0,25.4,45.0,Manha
2025-12-24,Prato,414.0,45.0,48.0,Manha
2025-12-25,Prato,764.0,72.4,48.0,Manha
2025-12-25,Mussarela,506.0,53.9,45.0,Manha
2025-12-25,Ricota,1072.0,69.9,28.0,Tarde
2025-12-26,Minas Frescal,463.0,82.1,32.0,Tarde
2025-12-26,Prato,1196.0,115.4,48.0,Tarde
2025-12-26,Mussarela,429.0,40.4,45.0,Tarde
2025-12-26,Ricota,976.0,58.0,28.0,Tarde
2025-12-27,Parmesao,880.0,70.2,89.0,Tarde
2025-12-27,Mussarela,1447.0,141.0,45.0,Tarde
2025-12-27,Prato,728.0,75.1,48.0,Tarde
2025-12-27,Minas Frescal,1495.0,255.5,32.0,Tarde
2025-12-28,Mussarela,265.0,26.9,45.0,Manha
2025-12-28,Coalho,368.0,56.9,38.0,Tarde
2025-12-29,Mussarela,1396.0,150.9,45.0,Tarde
2025-12-29,Parmesao,506.0,39.3,89.0,Tarde
2025-12-29,Ricota,1298.0,71.7,28.0,Manha
2025-12-30,Minas Frescal,470.0,89.1,32.0,Tarde
2025-12-30,Coalho,1159.0,175.9,38.0,Tarde
2025-12-30,Parmesao,1024.0,78.4,89.0,Manha
2025-12-30,Mussarela,891.0,88.4,45.0,Manha
2025-12-31,Ricota,366.0,21.1,28.0,Tarde
2025-12-31,Minas Frescal,1433.0,260.5,32.0,Tarde
2025-12-31,Coalho,996.0,149.5,38.0,Manha
2025-12-31,Parmesao,1047.0,87.3,89.0,Tarde
2026-01-01,Prato,359.0,38.8,48.0,Manha
2026-01-01,Mussarela,242.0,24.3,45.0,Tarde
2026-01-01,Minas Frescal,324.0,53.6,32.0,Manha
2026-01-01,Ricota,760.0,41.9,28.0,Manha
2026-01-02,Minas Frescal,870.0,158.8,32.0,Tarde
2026-01-02,Prato,908.0,80.3,48.0,Manha
2026-01-03,Ricota,1211.0,75.2,28.0,Tarde
2026-01-03,Coalho,1065.0,154.5,38.0,Tarde
2026-01-04,Ricota,1084.0,66.8,28.0,Tarde
2026-01-04,Parmesao,519.0,41.1,89.0,Manha
2026-01-05,Minas Frescal,1382.0,247.3,32.0,Manha
2026-01-05,Parmesao,403.0,29.0,89.0,Manha
2026-01-05,Prato,1474.0,136.5,48.0,Tarde
2026-01-05,Ricota,574.0,33.3,28.0,Tarde
2026-01-06,Prato,1265.0,126.1,48.0,Tarde
2026-01-06,Parmesao,347.0,27.6,89.0,Manha
2026-01-06,Coalho,901.0,135.8,38.0,Tarde
2026-01-06,Minas Frescal,311.0,54.3,32.0,Tarde
2026-01-07,Coalho,879.0,122.7,38.0,Tarde
2026-01-07,Ricota,862.0,49.0,28.0,Manha
2026-01-07,Prato,205.0,20.4,48.0,Manha
2026-01-07,Minas Frescal,796.0,149.9,32.0,Tarde
2026-01-08,Minas Frescal,969.0,178.2,32.0,Manha
2026-01-08,Mussarela,530.0,53.9,45.0,Tarde
2026-01-08,Parmesao,780.0,66.5,89.0,Manha
2026-01-09,Mussarela,534.0,56.4,45.0,Tarde
2026-01-09,Parmesao,405.0,32.2,89.0,Manha
2026-01-09,Prato,1098.0,120.5,48.0,Manha
2026-01-10,Ricota,1432.0,90.5,28.0,Manha
2026-01-10,Minas Frescal,999.0,182.8,32.0,Manha
2026-01-11,Coalho,1292.0,173.7,38.0,Manha
2026-01-11,Ricota,982.0,57.6,28.0,Manha
2026-01-11,Prato,588.0,64.5,48.0,Manha
2026-01-12,Mussarela,656.0,64.3,45.0,Tarde
2026-01-12,Minas Frescal,911.0,165.5,32.0,Tarde
2026-01-13,Mussarela,456.0,45.6,45.0,Manha
2026-01-13,Ricota,884.0,53.6,28.0,Manha
2026-01-13,Coalho,1250.0,188.4,38.0,Tarde
2026-01-14,Coalho,1153.0,166.2,38.0,Tarde
2026-01-14,Ricota,519.0,29.8,28.0,Manha
2026-01-15,Minas Frescal,1329.0,243.6,32.0,Tarde
2026-01-15,Ricota,300.0,18.4,28.0,Manha
2026-01-15,Mussarela,833.0,87.2,45.0,Manha
2026-01-16,Ricota,767.0,42.6,28.0,Tarde
2026-01-16,Parmesao,739.0,61.8,89.0,Manha
2026-01-17,Coalho,860.0,125.5,38.0,Manha
2026-01-17,Parmesao,299.0,24.4,89.0,Tarde
2026-01-18,Coalho,1179.0,177.7,38.0,Manha
2026-01-18,Parmesao,633.0,52.6,89.0,Manha
2026-01-18,Mussarela,1183.0,122.3,45.0,Tarde
2026-01-19,Minas Frescal,460.0,88.3,32.0,Tarde
2026-01-19,Mussarela,1046.0,111.9,45.0,Manha
2026-01-19,Coalho,1295.0,208.4,38.0,Manha
2026-01-19,Ricota,1286.0,78.2,28.0,Tarde
2026-01-20,Coalho,517.0,79.3,38.0,Tarde
2026-01-20,Minas Frescal,1021.0,189.6,32.0,Manha
2026-01-20,Mussarela,452.0,47.8,45.0,Manha
2026-01-21,Ricota,1310.0,77.9,28.0,Tarde
2026-01-21,Minas Frescal,728.0,130.0,32.0,Tarde
2026-01-21,Coalho,997.0,142.0,38.0,Manha
2026-01-21,Mussarela,1166.0,120.5,45.0,Tarde
2026-01-22,Prato,680.0,67.0,48.0,Tarde
2026-01-22,Mussarela,596.0,56.5,45.0,Tarde
2026-01-22,Coalho,699.0,100.2,38.0,Manha
2026-01-22,Parmesao,228.0,18.5,89.0,Manha
2026-01-23,Mussarela,611.0,60.6,45.0,Manha
2026-01-23,Ricota,990.0,61.0,28.0,Tarde
2026-01-23,Prato,746.0,69.2,48.0,Manha
2026-01-24,Mussarela,883.0,81.9,45.0,Tarde
2026-01-24,Prato,1243.0,132.1,48.0,Tarde
2026-01-24,Minas Frescal,1480.0,271.2,32.0,Tarde
2026-01-25,Prato,798.0,82.7,48.0,Tarde
2026-01-25,Ricota,859.0,48.5,28.0,Tarde
2026-01-25,Mussarela,1044.0,105.6,45.0,Tarde
2026-01-26,Minas Frescal,1267.0,209.2,32.0,Tarde
2026-01-26,Ricota,587.0,34.5,28.0,Manha
2026-01-26,Parmesao,1452.0,120.9,89.0,Manha
2026-01-27,Coalho,1044.0,151.7,38.0,Manha
2026-01-27,Ricota,902.0,55.6,28.0,Tarde
2026-01-27,Mussarela,777.0,79.4,45.0,Tarde
2026-01-27,Parmesao,271.0,22.3,89.0,Manha
2026-01-28,Minas Frescal,1054.0,182.1,32.0,Tarde
2026-01-28,Coalho,1161.0,180.4,38.0,Tarde
2026-01-28,Ricota,696.0,40.5,28.0,Manha
2026-01-29,Parmesao,776.0,62.9,89.0,Manha
2026-01-29,Mussarela,541.0,55.4,45.0,Tarde
2026-01-30,Prato,739.0,79.9,48.0,Tarde
2026-01-30,Parmesao,1213.0,95.1,89.0,Tarde
2026-01-30,Mussarela,1122.0,110.5,45.0,Tarde
2026-01-30,Coalho,348.0,51.7,38.0,Manha
2026-01-31,Minas Frescal,752.0,149.3,32.0,Tarde
2026-01-31,Coalho,1029.0,151.7,38.0,Manha
2026-01-31,Ricota,894.0,55.3,28.0,Manha
2026-01-31,Prato,442.0,41.4,48.0,Tarde
2026-02-01,Minas Frescal,647.0,126.2,32.0,Manha
2026-02-01,Coalho,307.0,47.4,38.0,Manha
2026-02-01,Mussarela,921.0,88.1,45.0,Manha
2026-02-01,Prato,1452.0,154.0,48.0,Tarde
2026-02-02,Mussarela,854.0,83.9,45.0,Tarde
2026-02-02,Coalho,650.0,89.2,38.0,Tarde
2026-02-02,Ricota,928.0,57.0,28.0,Manha
2026-02-03,Prato,480.0,48.7,48.0,Tarde
2026-02-03,Ricota,232.0,13.0,28.0,Manha
2026-02-04,Ricota,651.0,39.8,28.0,Tarde
2026-02-04,Mussarela,278.0,28.3,45.0,Tarde
2026-02-05,Coalho,1434.0,209.5,38.0,Tarde
2026-02-05,Parmesao,532.0,41.5,89.0,Tarde
2026-02-05,Prato,547.0,53.4,48.0,Tarde
2026-02-06,Mussarela,755.0,73.9,45.0,Tarde
2026-02-06,Prato,1213.0,119.8,48.0,Tarde
2026-02-07,Minas Frescal,1161.0,200.8,32.0,Manha
2026-02-07,Ricota,266.0,15.2,28.0,Manha
2026-02-08,Coalho,1307.0,195.5,38.0,Manha
2026-02-08,Prato,1210.0,115.1,48.0,Manha
2026-02-08,Mussarela,784.0,80.6,45.0,Manha
2026-02-08,Parmesao,837.0,69.1,89.0,Manha
2026-02-09,Mussarela,739.0,73.9,45.0,Tarde
2026-02-09,Minas Frescal,344.0,58.2,32.0,Tarde
2026-02-10,Prato,916.0,86.9,48.0,Tarde
2026-02-10,Mussarela,888.0,93.8,45.0,Manha
2026-02-11,Minas Frescal,633.0,115.5,32.0,Manha
2026-02-11,Coalho,520.0,73.6,38.0,Tarde
2026-02-11,Prato,843.0,86.2,48.0,Manha
2026-02-12,Parmesao,614.0,49.8,89.0,Manha
2026-02-12,Minas Frescal,316.0,59.1,32.0,Manha
2026-02-13,Ricota,315.0,17.9,28.0,Tarde
2026-02-13,Minas Frescal,1093.0,197.7,32.0,Tarde
2026-02-13,Parmesao,564.0,49.2,89.0,Tarde
2026-02-13,Coalho,795.0,117.0,38.0,Manha
2026-02-14,Coalho,1458.0,238.2,38.0,Tarde
2026-02-14,Prato,303.0,28.9,48.0,Manha
2026-02-14,Mussarela,393.0,40.6,45.0,Manha
2026-02-14,Ricota,346.0,22.1,28.0,Tarde
2026-02-15,Parmesao,1320.0,96.2,89.0,Manha
2026-02-15,Mussarela,698.0,67.9,45.0,Manha
2026-02-15,Ricota,1056.0,68.7,28.0,Tarde
2026-02-16,Coalho,361.0,57.8,38.0,Tarde
2026-02-16,Parmesao,507.0,41.0,89.0,Manha
2026-02-17,Ricota,544.0,32.5,28.0,Manha
2026-02-17,Minas Frescal,919.0,172.8,32.0,Tarde
2026-02-17,Prato,704.0,71.3,48.0,Manha
2026-02-17,Coalho,318.0,47.2,38.0,Tarde
2026-02-18,Mussarela,1138.0,106.7,45.0,Manha
2026-02-18,Parmesao,371.0,30.3,89.0,Manha
2026-02-19,Minas Frescal,1301.0,234.6,32.0,Tarde
2026-02-19,Ricota,1005.0,57.0,28.0,Tarde
2026-02-19,Prato,882.0,89.9,48.0,Manha
2026-02-19,Coalho,892.0,141.2,38.0,Tarde
2026-02-20,Parmesao,394.0,31.9,89.0,Manha
2026-02-20,Coalho,1425.0,207.6,38.0,Manha
2026-02-21,Coalho,1203.0,176.8,38.0,Tarde
2026-02-21,Prato,408.0,41.4,48.0,Tarde
2026-02-21,Ricota,667.0,39.1,28.0,Tarde
2026-02-22,Parmesao,645.0,46.8,89.0,Manha
2026-02-22,Coalho,1037.0,155.8,38.0,Tarde
2026-02-22,Minas Frescal,736.0,140.5,32.0,Tarde
2026-02-22,Ricota,1048.0,64.1,28.0,Tarde
2026-02-23,Mussarela,1319.0,129.7,45.0,Tarde
2026-02-23,Parmesao,204.0,17.8,89.0,Manha
2026-02-23,Minas Frescal,792.0,156.1,32.0,Manha
2026-02-23,Coalho,1484.0,242.1,38.0,Manha
2026-02-24,Prato,942.0,90.9,48.0,Tarde
2026-02-24,Mussarela,213.0,20.9,45.0,Tarde
2026-02-24,Ricota,855.0,53.6,28.0,Manha
2026-02-24,Parmesao,639.0,51.8,89.0,Manha
2026-02-25,Mussarela,230.0,21.9,45.0,Tarde
2026-02-25,Ricota,457.0,27.3,28.0,Manha
2026-02-25,Minas Frescal,959.0,166.6,32.0,Tarde
2026-02-25,Coalho,821.0,114.9,38.0,Manha
2026-02-26,Ricota,366.0,20.9,28.0,Manha
2026-02-26,Prato,316.0,31.7,48.0,Tarde
2026-02-26,Minas Frescal,1075.0,174.6,32.0,Manha
2026-02-27,Minas Frescal,606.0,108.9,32.0,Tarde
2026-02-27,Mussarela,1204.0,126.1,45.0,Tarde
2026-02-28,Ricota,733.0,46.7,28.0,Manha
2026-02-28,Parmesao,489.0,34.2,89.0,Tarde
2026-02-28,Mussarela,1261.0,120.8,45.0,Tarde
2026-03-01,Coalho,790.0,124.7,38.0,Manha
2026-03-01,Minas Frescal,687.0,118.3,32.0,Tarde
2026-03-01,Prato,1161.0,107.2,48.0,Manha
2026-03-02,Minas Frescal,984.0,195.4,32.0,Tarde
2026-03-02,Parmesao,502.0,37.6,89.0,Tarde
2026-03-02,Mussarela,700.0,66.2,45.0,Manha
2026-03-02,Ricota,1003.0,61.4,28.0,Manha
2026-03-03,Mussarela,1342.0,142.0,45.0,Tarde
2026-03-03,Prato,946.0,90.0,48.0,Tarde
2026-03-04,Parmesao,584.0,44.7,89.0,Manha
2026-03-04,Mussarela,296.0,28.8,45.0,Tarde
2026-03-04,Prato,626.0,68.5,48.0,Tarde
2026-03-05,Mussarela,669.0,66.9,45.0,Manha
2026-03-05,Prato,437.0,46.2,48.0,Tarde
2026-03-05,Parmesao,1284.0,104.3,89.0,Tarde
2026-03-06,Coalho,1336.0,209.1,38.0,Manha
2026-03-06,Mussarela,404.0,42.2,45.0,Tarde
2026-03-06,Prato,1390.0,147.3,48.0,Tarde
2026-03-07,Parmesao,385.0,25.2,89.0,Tarde
2026-03-07,Prato,682.0,69.7,48.0,Manha
2026-03-07,Coalho,1277.0,180.4,38.0,Tarde
2026-03-07,Mussarela,926.0,98.9,45.0,Manha
2026-03-08,Parmesao,270.0,22.0,89.0,Tarde
2026-03-08,Ricota,1275.0,77.0,28.0,Manha
2026-03-09,Coalho,918.0,135.9,38.0,Tarde
2026-03-09,Mussarela,1341.0,140.3,45.0,Manha
2026-03-09,Parmesao,1237.0,97.6,89.0,Manha
2026-03-10,Coalho,738.0,116.8,38.0,Tarde
2026-03-10,Mussarela,593.0,55.1,45.0,Tarde
2026-03-10,Parmesao,294.0,24.1,89.0,Manha
2026-03-10,Minas Frescal,883.0,160.8,32.0,Manha
2026-03-11,Parmesao,958.0,71.3,89.0,Manha
2026-03-11,Ricota,576.0,34.0,28.0,Tarde
2026-03-12,Minas Frescal,1155.0,206.8,32.0,Tarde
2026-03-12,Mussarela,1362.0,141.4,45.0,Tarde
2026-03-12,Coalho,966.0,145.8,38.0,Tarde
2026-03-12,Prato,629.0,62.7,48.0,Manha
2026-03-13,Prato,536.0,54.5,48.0,Manha
2026-03-13,Mussarela,622.0,61.0,45.0,Tarde
2026-03-13,Parmesao,1152.0,93.9,89.0,Tarde
2026-03-14,Minas Frescal,1176.0,200.9,32.0,Manha
2026-03-14,Parmesao,423.0,33.4,89.0,Manha
2026-03-14,Coalho,1195.0,184.8,38.0,Manha
2026-03-14,Ricota,565.0,34.4,28.0,Tarde
2026-03-15,Minas Frescal,957.0,172.6,32.0,Tarde
2026-03-15,Parmesao,600.0,50.5,89.0,Tarde
2026-03-15,Ricota,1133.0,68.7,28.0,Tarde
2026-03-15,Prato,772.0,79.1,48.0,Tarde
2026-03-16,Mussarela,671.0,69.8,45.0,Manha
2026-03-16,Parmesao,1301.0,99.1,89.0,Tarde
2026-03-16,Ricota,1313.0,81.5,28.0,Tarde
2026-03-17,Coalho,723.0,111.4,38.0,Tarde
2026-03-17,Prato,610.0,62.3,48.0,Tarde
2026-03-17,Ricota,227.0,13.5,28.0,Tarde
2026-03-18,Minas Frescal,1014.0,196.0,32.0,Manha
2026-03-18,Parmesao,988.0,80.7,89.0,Tarde
2026-03-19,Mussarela,671.0,72.0,45.0,Manha
2026-03-19,Prato,1054.0,111.4,48.0,Tarde
2026-03-20,Mussarela,790.0,84.7,45.0,Tarde
2026-03-20,Ricota,504.0,29.9,28.0,Manha
2026-03-20,Minas Frescal,986.0,175.4,32.0,Manha
2026-03-21,Mussarela,234.0,26.7,45.0,Manha
2026-03-21,Parmesao,1341.0,115.0,89.0,Tarde
2026-03-21,Ricota,1022.0,60.9,28.0,Manha
2026-03-22,Parmesao,490.0,36.5,89.0,Tarde
2026-03-22,Ricota,1124.0,69.6,28.0,Tarde
2026-03-22,Mussarela,402.0,39.0,45.0,Manha
2026-03-23,Prato,1235.0,119.4,48.0,Tarde
2026-03-23,Mussarela,230.0,22.9,45.0,Tarde
2026-03-24,Minas Frescal,353.0,67.5,32.0,Tarde
2026-03-24,Coalho,586.0,90.6,38.0,Manha
2026-03-25,Minas Frescal,1192.0,222.1,32.0,Manha
2026-03-25,Prato,1085.0,104.2,48.0,Tarde
2026-03-26,Mussarela,417.0,41.2,45.0,Manha
2026-03-26,Parmesao,547.0,43.9,89.0,Manha
2026-03-26,Ricota,1390.0,81.9,28.0,Manha
2026-03-26,Coalho,600.0,85.6,38.0,Tarde
2026-03-27,Mussarela,1305.0,129.3,45.0,Tarde
2026-03-27,Ricota,639.0,41.7,28.0,Tarde
2026-03-27,Minas Frescal,644.0,114.5,32.0,Manha
2026-03-28,Coalho,919.0,133.1,38.0,Tarde
2026-03-28,Mussarela,256.0,25.4,45.0,Manha
2026-03-29,Mussarela,461.0,46.1,45.0,Tarde
2026-03-29,Coalho,1128.0,149.6,38.0,Manha
2026-03-29,Prato,735.0,71.5,48.0,Manha
2026-03-30,Coalho,638.0,100.6,38.0,Manha
2026-03-30,Parmesao,257.0,20.7,89.0,Tarde
2026-03-30,Minas Frescal,1108.0,202.2,32.0,Tarde
2026-03-31,Prato,1438.0,126.2,48.0,Tarde
2026-03-31,Ricota,790.0,44.6,28.0,Manha
2026-03-31,Mussarela,815.0,80.5,45.0,Tarde
2026-03-31,Minas Frescal,527.0,90.2,32.0,Tarde
2026-04-01,Prato,889.0,83.8,48.0,Manha
2026-04-01,Mussarela,683.0,67.9,45.0,Manha
2026-04-01,Parmesao,574.0,45.7,89.0,Manha
2026-04-01,Coalho,334.0,48.2,38.0,Tarde
2026-04-02,Coalho,371.0,52.0,38.0,Tarde
2026-04-02,Mussarela,785.0,75.4,45.0,Tarde
2026-04-03,Ricota,1205.0,74.5,28.0,Tarde
2026-04-03,Coalho,1291.0,208.5,38.0,Tarde
2026-04-03,Mussarela,1279.0,126.3,45.0,Manha
2026-04-03,Minas Frescal,817.0,161.3,32.0,Manha
2026-04-04,Mussarela,235.0,22.3,45.0,Manha
2026-04-04,Coalho,739.0,108.2,38.0,Manha
2026-04-04,Prato,877.0,87.3,48.0,Manha
